트림 명칭,트림코드,라인업코드,사용여부,소비자가
플래티넘 5인승 (A/T),2060101,20601,Y,47020000
플래티넘 6인승 (A/T),2060102,20601,Y,48050000
플래티넘 7인승 (A/T),2060103,20601,Y,47660000
마스터즈 5인승 (A/T),2060104,20601,Y,51640000
마스터즈 6인승 (A/T),2060105,20601,Y,52670000
마스터즈 7인승 (A/T),2060106,20601,Y,52280000
마스터즈 그래비티 5인승 (A/T),2060107,20601,Y,55860000
마스터즈 그래비티 6인승 (A/T),2060108,20601,Y,56890000
마스터즈 그래비티 7인승 (A/T),2060109,20601,Y,56500000
플래티넘 5인승 (A/T),2060201,20602,Y,47020000
플래티넘 6인승 (A/T),2060202,20602,Y,48050000
플래티넘 7인승 (A/T),2060203,20602,Y,47660000
마스터즈 5인승 (A/T),2060204,20602,Y,51640000
마스터즈 6인승 (A/T),2060205,20602,Y,52670000
마스터즈 7인승 (A/T),2060206,20602,Y,52280000
마스터즈 그래비티 5인승 (A/T),2060207,20602,Y,55860000
마스터즈 그래비티 6인승 (A/T),2060208,20602,Y,56890000
마스터즈 그래비티 7인승 (A/T),2060209,20602,Y,56500000
스마트 (A/T),1040201,10402,Y,27540000
프리미엄 초이스 (5인승) (A/T),1020301,10203,Y,32050000
프레스티지 (5인승) (A/T),1020303,10203,Y,35140000
노블레스 (A/T),2100301,21003,Y,38240000
시그니처 (A/T),2100302,21003,Y,42360000
프레스티지 (A/T),2100501,21005,Y,31600000
노블레스 (A/T),2100502,21005,Y,35900000
시그니처 (A/T),2100503,21005,Y,39850000
프레스티지 (A/T),2100801,21008,Y,32800000
노블레스 (A/T),2100802,21008,Y,37100000
시그니처 (A/T),2100803,21008,Y,41050000
시그니처 (A/T),2100901,21009,Y,41050000
프레스티지 (A/T),2100601,21006,Y,32800000
노블레스 (A/T),2100602,21006,Y,37100000
시그니처 (A/T),2100603,21006,Y,41050000
시그니처 (A/T),2100604,21006,Y,41050000
프레스티지 (A/T),2100101,21001,Y,31600000
노블레스 (A/T),2100102,21001,Y,35900000
시그니처 (A/T),2100103,21001,Y,39850000
노블레스 (A/T),2100701,21007,Y,39420000
시그니처 (A/T),2100702,21007,Y,43540000
시그니처 (A/T),2100201,21002,Y,62710000
시그니처 (A/T),2100401,21004,Y,60660000
프레스티지 (7인승) (A/T),1020304,10203,Y,35780000
프리미엄 (7인승) (A/T),1020308,10203,Y,31860000
프리미엄 초이스 (7인승) (A/T),1020302,10203,Y,32690000
프리미엄 (5인승) (A/T),1020401,10204,Y,33480000
프리미엄 (7인승) (A/T),1020402,10204,Y,34120000
프리미엄 초이스 (5인승) (A/T),1020403,10204,Y,34310000
프리미엄 초이스 (7인승) (A/T),1020404,10204,Y,34950000
프레스티지 (5인승) (A/T),1020405,10204,Y,37400000
프레스티지 (7인승) (A/T),1020406,10204,Y,38040000
럭셔리 AWD (A/T),6020301,60203,Y,84420000
럭셔리 AWD (A/T),6020101,60201,Y,81480000
럭셔리 RWD (A/T),6020102,60201,Y,79030000
프리미엄 럭셔리 AWD (A/T),6020103,60201,Y,93750000
프레스티지 AWD (A/T),6020104,60201,Y,111910000
럭셔리 RWD (A/T),6020302,60203,Y,81970000
프리미엄 럭셔리 AWD (A/T),6020303,60203,Y,96700000
프레스티지 AWD (A/T),6020304,60203,Y,114860000
프레스티지 AWD (A/T),6020201,60202,Y,119770000
익스클루시브 (8인승) (A/T),1050102,10501,Y,35730000
프레스티지 (8인승) (A/T),1050104,10501,Y,41130000
익스클루시브 (8인승) (A/T),1050302,10503,Y,37210000
프레스티지 (8인승) (A/T),1050304,10503,Y,42610000
트렌디 (A/T),2070701,20707,Y,24150000
프레스티지 (A/T),2070702,20707,Y,26210000
익스클루시브 (7인승) (A/T),1050101,10501,Y,36020000
프레스티지 그래비티 (A/T),2070703,20707,Y,26550000
시그니처 (A/T),2070704,20707,Y,29500000
프레스티지 (7인승) (A/T),1050103,10501,Y,41420000
익스클루시브 (8인승) (A/T),1050202,10502,Y,38040000
익스클루시브 (7인승) (A/T),1050201,10502,Y,38330000
프레스티지 (8인승) (A/T),1050204,10502,Y,43440000
프레스티지 (7인승) (A/T),1050203,10502,Y,43730000
캘리그래피 (7인승) (A/T),1050205,10502,Y,48550000
시그니처 그래비티 (A/T),2070705,20707,Y,29840000
트렌디 (A/T),2070801,20708,Y,26210000
익스클루시브 (7인승) (A/T),1050301,10503,Y,37500000
